Country,ResellerID,Trans12Mo,Units12Mo
Argentina,4810912,1,1
Argentina,56864507,1,1
Argentina,54239933,1,1
Argentina,54310743,1,1
Argentina,56624338,1,1
Argentina,18682185,1,1
Argentina,4338296,1,1
Argentina,379814,1,1
Argentina,38878909,1,1
Argentina,6720414,1,1
Argentina,8777367,1,1
Argentina,16208767,1,1
Argentina,8584372,1,1
Argentina,52009737,1,1
Argentina,23222743,1,1
Argentina,16247690,1,1
Argentina,37090479,1,1
Argentina,12548913,1,1
Argentina,29635431,1,1
Argentina,54693893,1,1
Argentina,11302121,1,1
Argentina,56816511,1,1
Argentina,23508020,1,1
Argentina,23508020,1,1
Argentina,13082753,1,1
Argentina,29532476,1,1
Argentina,54310745,1,1
Argentina,65247242,1,1
Argentina,63597788,1,1
Argentina,45052913,1,1
Argentina,61696524,1,1
Argentina,59683586,1,1
Argentina,62509499,1,1
Argentina,52984181,1,1
Argentina,42114573,1,1
Argentina,48485688,1,1
Argentina,61378535,1,1
Argentina,41366052,1,1
Argentina,60391065,1,1
Argentina,60558306,1,1
Argentina,62205670,1,1
Argentina,60558307,1,1
Argentina,58478710,1,1
Argentina,62508175,1,1
Argentina,62985133,1,1
Argentina,39293018,1,1
Argentina,60558311,1,1
Argentina,59566199,1,1
Argentina,60558419,1,1
Argentina,55704561,1,1
Argentina,43343508,1,1
Argentina,56624389,1,1
Argentina,41296174,1,1
Argentina,52673901,1,1
Argentina,61551767,1,1
Argentina,56677541,3,1
Argentina,55942055,1,1
Argentina,60705173,1,1
Argentina,61696526,1,1
Argentina,62078313,1,1
Argentina,50170758,1,1
Argentina,62205666,1,1
Argentina,60783763,1,1
Argentina,62205675,1,1
Argentina,55092731,1,1
Argentina,62255342,1,1
Argentina,55164826,1,1
Argentina,55383281,1,1
Argentina,50814748,1,1
Argentina,48925210,1,1
Argentina,60978449,1,1
Argentina,49083112,1,1
Argentina,63565519,1,1
Argentina,57502546,1,1
Argentina,54350042,1,1
Argentina,53234542,1,1
Argentina,59406912,1,1
Argentina,64851560,1,1
Argentina,61088323,1,1
Argentina,59566200,1,1
Argentina,52654196,1,1
Argentina,61207290,1,1
Argentina,61214225,1,1
Argentina,13157526,1,1
Argentina,10797246,1,1
Argentina,20818371,1,1
Argentina,11809840,1,1
Argentina,13683230,1,1
Argentina,336695,1,1
Argentina,21171901,1,1
Argentina,16823030,1,1
Argentina,14018529,1,1
Argentina,17046091,1,1
Argentina,7230405,1,1
Argentina,25595045,1,1
Argentina,10779390,1,1
Argentina,14131564,1,1
Argentina,16490710,1,1
Argentina,12548907,1,1
Argentina,38358411,1,1
Argentina,2304102,1,1
Argentina,430920,1,1
Argentina,14533386,1,1
Argentina,2313599,1,1
Argentina,15728123,1,1
Argentina,18183474,1,1
Argentina,8287063,1,1
Argentina,10548087,1,1
Argentina,12673547,1,1
Argentina,6891531,1,1
Argentina,36185558,1,1
Argentina,18274849,1,1
Argentina,116512,1,1
Argentina,16330461,1,1
Argentina,9105237,1,1
Argentina,31713145,1,1
Argentina,16485627,1,1
Argentina,141357,1,1
Argentina,22668822,1,1
Argentina,379757,1,1
Argentina,11237046,1,1
Argentina,3873593,1,1
Argentina,23308840,1,1
Argentina,32466208,1,1
Argentina,15284919,1,1
Brazil,12868186,2,1
Brazil,12014080,1,1
Brazil,53240543,1,1
Brazil,15351925,1,1
Brazil,5885866,1,1
Brazil,37363119,1,1
Brazil,54946725,1,1
Brazil,51260441,1,1
Brazil,5690006,1,1
Brazil,36909644,1,1
Brazil,43312455,1,1
Brazil,56851014,1,1
Brazil,3016705,1,1
Brazil,50431435,1,1
Brazil,17485547,1,1
Brazil,37104721,1,1
Brazil,23395519,1,1
Brazil,14116872,1,1
Brazil,41557993,1,1
Brazil,45968465,1,1
Brazil,46426008,1,1
Brazil,35976529,1,1
Brazil,36431669,1,1
Brazil,53588101,1,1
Brazil,22778107,1,1
Brazil,11958882,1,1
Brazil,11792422,1,1
Brazil,50472271,1,1
Brazil,47621919,1,1
Brazil,43923104,1,1
Brazil,21636851,1,1
Brazil,4179316,1,1
Brazil,7247757,1,1
Brazil,53695459,1,1
Brazil,10861724,1,1
Brazil,13640413,1,1
Brazil,58997252,1,1
Brazil,54824667,1,1
Brazil,54824667,1,1
Brazil,54524921,1,1
Brazil,52658263,1,1
Brazil,52658258,1,1
Brazil,49462830,1,1
Brazil,9595928,1,1
Brazil,54612200,1,1
Brazil,53713891,1,1
Brazil,51948991,1,1
Brazil,13460656,1,1
Brazil,13861266,1,1
Brazil,4820044,1,1
Brazil,6739075,1,1
Brazil,49079976,1,1
Brazil,4957758,1,1
Brazil,47256022,1,1
Brazil,39554781,1,1
Brazil,31462416,1,1
Brazil,24811675,1,1
Brazil,25823032,1,1
Brazil,22872084,1,1
Brazil,13113470,1,1
Brazil,52583709,1,1
Brazil,52583709,1,1
Brazil,38503948,1,1
Brazil,16583768,1,1
Brazil,5022306,1,1
Brazil,380269,1,1
Brazil,55218090,1,1
